text,label,exp
人の横顔,A1,Holistic
座っている人,A1,Holistic
祈る人,A1,Holistic
積み木,A1,Holistic
モニュメント,A1,Holistic
上部に右向きの三角形がある,A1,Analytic
中央左に傾いた正方形がある,A1,Analytic
全体が縦長に積み重なっている,A1,Analytic
右側のラインが直線的である,A1,Analytic
左側に四角形が突出している,A1,Analytic
走っている人,A2,Holistic
ダンスをする人,A2,Holistic
転びそうな人,A2,Holistic
蹴ろうとしている人,A2,Holistic
逃げる人,A2,Holistic
右上に正方形の頭部がある,A2,Analytic
左側に突き出した三角形の足がある,A2,Analytic
全体が右に傾いている,A2,Analytic
中央に大きな平行四辺形がある,A2,Analytic
右下の三角形が地面を蹴っているように見える,A2,Analytic
水に浮かぶ鳥,A3,Holistic
山脈,A3,Holistic
王冠,A3,Holistic
折り紙の鳥,A3,Holistic
船,A3,Holistic
右端に三角形の頭部がある,A3,Analytic
全体が横に長い,A3,Analytic
左側が尾のように伸びている,A3,Analytic
底辺が平らである,A3,Analytic
中央に山のような突起がある,A3,Analytic
サボテン,C1,Holistic
樹木,C1,Holistic
立ち昇る煙,C1,Holistic
ロケット,C1,Holistic
トーテムポール,C1,Holistic
全体が縦に細長い,C1,Analytic
左下に平行四辺形が突出している,C1,Analytic
右側に小さな三角形がついている,C1,Analytic
頂点が鋭く尖っている,C1,Analytic
中央が柱のように太い,C1,Analytic
跳ねるウサギ,C2,Holistic
飛び込む人,C2,Holistic
カンガルー,C2,Holistic
踊っている人,C2,Holistic
影絵のキツネ,C2,Holistic
右上に頭のような正方形がある,C2,Analytic
左下に尻尾のような三角形がある,C2,Analytic
全体が弓なりに反っている,C2,Analytic
中央部分が太い,C2,Analytic
右上の正方形が傾いている,C2,Analytic
風車,C3,Holistic
リボン,C3,Holistic
手裏剣,C3,Holistic
蝶ネクタイ,C3,Holistic
交差する道,C3,Holistic
全体がX字型をしている,C3,Analytic
中央がくびれている,C3,Analytic
四方に角が突き出している,C3,Analytic
右上に平行四辺形がある,C3,Analytic
左上に大きな三角形がある,C3,Analytic
