text,label,exp
宙返りする体操選手,A1,Holistic
跳ねるウサギ,A1,Holistic
墜落するロケット,A1,Holistic
滑り落ちる動物,A1,Holistic
逆立ちしたロボット,A1,Holistic
全体が縦長に積み重なっている,A1,Analytic
右側のラインが直線的である,A1,Analytic
左側に四角形が突出している,A1,Analytic
一番下の三角形が台座のようになっている,A1,Analytic
上から二番目の三角形が小さい,A1,Analytic
泳ぐウミガメ,A2,Holistic
漂う人工衛星,A2,Holistic
潜水するダイバー,A2,Holistic
横たわる龍,A2,Holistic
機械仕掛けの魚,A2,Holistic
全体が右に傾いている,A2,Analytic
中央に大きな平行四辺形がある,A2,Analytic
右下の三角形が地面を蹴っているように見える,A2,Analytic
左上の三角形が腕のように見える,A2,Analytic
図形全体がX字のような構成である,A2,Analytic
座っている猫,A3,Holistic
険しい山の連なり,A3,Holistic
うねる波の形,A3,Holistic
折り紙の鳥,A3,Holistic
アルファベットのM,A3,Holistic
左側が尾のように伸びている,A3,Analytic
底辺が平らである,A3,Analytic
中央に山のような突起がある,A3,Analytic
右側の首部分が垂直に立っている,A3,Analytic
左端が鋭く尖っている,A3,Analytic
飛行中の航空機,C1,Holistic
踊っている人間,C1,Holistic
均衡を保つ天秤,C1,Holistic
翼を広げた鳥,C1,Holistic
抽象的な戦闘機,C1,Holistic
右側に小さな三角形がついている,C1,Analytic
頂点が鋭く尖っている,C1,Analytic
中央が柱のように太い,C1,Analytic
下部の幅が広い,C1,Analytic
左右非対称な形状である,C1,Analytic
泳ぐ人魚,C2,Holistic
跳ねるイルカ,C2,Holistic
宇宙を漂う飛行士,C2,Holistic
飛び出す魚,C2,Holistic
抽象的な水しぶき,C2,Holistic
全体が弓なりに反っている,C2,Analytic
中央部分が太い,C2,Analytic
右上の正方形が傾いている,C2,Analytic
左下の先端が尖っている,C2,Analytic
背中のラインが滑らかに見える,C2,Analytic
走る人影,C3,Holistic
スタイリッシュな星,C3,Holistic
手裏剣の形,C3,Holistic
咲きかけの花,C3,Holistic
抽象的な生き物,C3,Holistic
四方に角が突き出している,C3,Analytic
右上に平行四辺形がある,C3,Analytic
左上に大きな三角形がある,C3,Analytic
右下の三角形が外側を向いている,C3,Analytic
左下の三角形が下を向いている,C3,Analytic
