text,label,exp
泳いでいる人,B1,Holistic
潜水士,B1,Holistic
斜めに傾いた飛行機,B1,Holistic
伸びをする猫,B1,Holistic
落ちていく物体,B1,Holistic
左側に四角い凹みがある,B1,Analytic
下部に台形のような安定したパーツがある,B1,Analytic
左下方向に三角形の角が突き出している,B1,Analytic
全体的に縦に細長い構成である,B1,Analytic
中央部に細い垂直のパーツがある,B1,Analytic
木に止まる鳥,B2,Holistic
座っているリス,B2,Holistic
指を差す人,B2,Holistic
前進する戦車,B2,Holistic
抽象的な魚,B2,Holistic
右側に鋭い三角形が横に突き出している,B2,Analytic
左側に翼のような三角形が広がっている,B2,Analytic
左下端に小さな三角形の尖った部分がある,B2,Analytic
正方形と胴体は角の部分で接している,B2,Analytic
下部の底辺は水平で直線的である,B2,Analytic
飛んでいる鳥,B3,Holistic
紙飛行機,B3,Holistic
走っている人,B3,Holistic
ブーメラン,B3,Holistic
親指を立てた手,B3,Holistic
左側に水平に近い辺を持つ大きな三角形がある,B3,Analytic
中央部でV字型に折れ曲がっている,B3,Analytic
下部に小さな三角形が下向きに配置されている,B3,Analytic
右上の三角形の先端が最高点である,B3,Analytic
左端は鋭い角で構成されている,B3,Analytic
飛んでいる龍,C1,Holistic
ボードに乗る水泳選手,C1,Holistic
口を開けたワニ,C1,Holistic
帆を立てた船,C1,Holistic
急降下する鳥,C1,Holistic
左側に正方形が45度傾いて接している,C1,Analytic
中央に垂直に伸びる太い柱状のパーツがある,C1,Analytic
下部の土台が左側に突き出している,C1,Analytic
中心にある柱の右辺は一直線に垂直である,C1,Analytic
左の正方形は中央よりやや下の位置にある,C1,Analytic
泳ぐ魚,C2,Holistic
ダイビングする人,C2,Holistic
潜水艦,C2,Holistic
人魚,C2,Holistic
沈みゆく船,C2,Holistic
中央部はS字のように折れ曲がった多角形である,C2,Analytic
左下端に小さな三角形が外向きについている,C2,Analytic
全体として右斜め上から左下へ流れる配置である,C2,Analytic
正方形は頂点が上下を向くように傾いている,C2,Analytic
中央のパーツには右側に大きな凹みがある,C2,Analytic
踊る人,C3,Holistic
風車,C3,Holistic
ヒトデのような形,C3,Holistic
飛ぶ蝶,C3,Holistic
アクロバット,C3,Holistic
中央に垂直な長方形に近いパーツがある,C3,Analytic
左下に向かって鋭い三角形が突き出している,C3,Analytic
下部中央に小さな三角形の突起がある,C3,Analytic
右上の角は水平な辺を持つ台形である,C3,Analytic
全体的に中心から四方に尖った形が伸びている,C3,Analytic
