text,label,exp
杖をつく老人,B1,Holistic
垂直な記念碑,B1,Holistic
立ち上がるロボット,B1,Holistic
片耳を立てた犬,B1,Holistic
都会のビル群,B1,Holistic
最上部に左斜め上を向く三角形がある,B1,Analytic
右側の輪郭が垂直な直線である,B1,Analytic
左側に四角い凹みがある,B1,Analytic
下部に台形のような安定したパーツがある,B1,Analytic
左下方向に三角形の角が突き出している,B1,Analytic
祈りを捧げる天使,B2,Holistic
ドレスを着た貴婦人,B2,Holistic
翼を広げた鳥,B2,Holistic
抽象的な彫刻像,B2,Holistic
王冠を被る人,B2,Holistic
最上部に傾いた正方形が配置されている,B2,Analytic
中央に大きな台形型の胴体がある,B2,Analytic
右側に鋭い三角形が横に突き出している,B2,Analytic
左側に翼のような三角形が広がっている,B2,Analytic
左下端に小さな三角形の尖った部分がある,B2,Analytic
水面を跳ねる魚,B3,Holistic
滑空するツバメ,B3,Holistic
鋭いブーメラン,B3,Holistic
尖った矢印のマーク,B3,Holistic
横たわる人のシルエット,B3,Holistic
右上に鋭い三角形が上を向いてついている,B3,Analytic
右上から左下へ斜めに伸びる構造である,B3,Analytic
左側に水平に近い辺を持つ大きな三角形がある,B3,Analytic
中央部でV字型に折れ曲がっている,B3,Analytic
下部に小さな三角形が下向きに配置されている,B3,Analytic
砂漠のサボテン,C1,Holistic
燃え盛る松明,C1,Holistic
特殊な形の鍵,C1,Holistic
万歳をする人,C1,Holistic
抽象的な樹木,C1,Holistic
最上部に上を向いた直角三角形がある,C1,Analytic
右側に小さな三角形が横に張り出している,C1,Analytic
左側に正方形が45度傾いて接している,C1,Analytic
中央に垂直に伸びる太い柱状のパーツがある,C1,Analytic
下部の土台が左側に突き出している,C1,Analytic
宙返りする運動選手,C2,Holistic
飛び跳ねるイルカ,C2,Holistic
踊るダンサー,C2,Holistic
投げ出された人形,C2,Holistic
不思議な幾何学模様,C2,Holistic
右上に独立した正方形が配置されている,C2,Analytic
正方形の左隣に鋭い三角形が寄り添っている,C2,Analytic
中央部はS字のように折れ曲がった多角形である,C2,Analytic
左下端に小さな三角形が外向きについている,C2,Analytic
全体として右斜め上から左下へ流れる配置である,C2,Analytic
横向きに歩く蟹,C3,Holistic
複雑な紋章の図案,C3,Holistic
羽を広げたドローン,C3,Holistic
抽象的な手裏剣,C3,Holistic
折り紙の鶴,C3,Holistic
左上に大きな直角三角形が配置されている,C3,Analytic
右下に鋭い三角形が右下を向いてついている,C3,Analytic
中央に垂直な長方形に近いパーツがある,C3,Analytic
左下に向かって鋭い三角形が突き出している,C3,Analytic
下部中央に小さな三角形の突起がある,C3,Analytic
